TAZ,RSA,CSA,COUNTY,COUNTY_ID,DIST,DIST_ID,SUPDIST,SUPDIST_ID
1,7,20,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
2,7,20,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
3,7,20,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
4,7,22,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
5,7,23,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
6,7,23,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
7,7,23,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
8,7,20,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
9,7,21,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
10,7,21,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
11,7,21,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
12,7,21,"Los Angeles",1,"CALABASAS",7,"VENTURA",11
13,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
14,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
15,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
16,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
17,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
18,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
19,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
20,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
21,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
22,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
23,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
24,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
25,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
26,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
27,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
28,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
29,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
30,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
31,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
32,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
33,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
34,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
35,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
36,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
37,8,88,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
38,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
39,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
40,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
41,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
42,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
43,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
44,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
45,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
46,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
47,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
48,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
49,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
50,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
51,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
52,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
53,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
54,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
55,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
56,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
57,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
58,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
59,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
60,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
61,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
62,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
63,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
64,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
65,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
66,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
67,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
68,8,89,"Los Angeles",1,"SANTA CLARITA",8,"ANTELOPE",13
69,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
70,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
71,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
72,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
73,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
74,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
75,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
76,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
77,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
78,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
79,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
80,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
81,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
82,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
83,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
84,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
85,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
86,9,19,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
87,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
88,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
89,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
90,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
91,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
92,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
93,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
94,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
95,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
96,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
97,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
98,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
99,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
100,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
101,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
102,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
103,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
104,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
105,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
106,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
107,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
108,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
109,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
110,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
111,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
112,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
113,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
114,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
115,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
116,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
117,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
118,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
119,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
120,9,19,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
121,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
122,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
123,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
124,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
125,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
126,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
127,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
128,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
129,9,17,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
130,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
131,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
132,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
133,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
134,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
135,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
136,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
137,9,16,"Los Angeles",1,"LANCASTER",9,"ANTELOPE",13
138,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
139,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
140,10,17,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
141,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
142,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
143,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
144,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
145,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
146,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
147,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
148,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
149,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
150,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
151,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
152,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
153,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
154,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
155,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
156,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
157,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
158,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
159,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
160,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
161,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
162,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
163,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
164,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
165,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
166,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
167,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
168,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
169,10,18,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
170,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
171,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
172,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
173,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
174,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
175,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
176,10,19,"Los Angeles",1,"PALMDALE",10,"ANTELOPE",13
