route,node,seq
754,9012,1
754,9011,2
754,9092,3
754,9114,4
754,9132,5
754,9173,6
754,9263,7
754,9413,8
754,-1,9
754,9460,10
754,9575,11
754,9644,12
754,9700,13
754,9738,14
754,9750,15
754,9781,16
754,10976,17
754,11092,18
754,11283,19
754,-2,20
754,11379,21
754,11445,22
754,11498,23
204,8989,1
204,-1,2
204,9011,3
204,9032,4
204,-2,5
204,9092,6
204,-3,7
204,-4,8
204,-5,9
204,9114,10
204,18025,11
204,9118,12
204,18813,13
204,9132,14
204,14816,15
204,9173,16
204,-6,17
204,9287,18
204,9263,19
204,14818,20
204,9337,21
204,-7,22
204,9413,23
204,-8,24
204,9460,25
204,9540,26
204,9575,27
204,18218,28
204,22288,29
204,9644,30
204,-9,31
204,9700,32
204,-10,33
204,-11,34
204,9738,35
204,-12,36
204,-13,37
204,9750,38
204,-14,39
204,9781,40
204,-15,41
204,-16,42
204,11024,43
204,11137,44
204,-17,45
204,10976,46
204,11148,47
204,11167,48
204,18650,49
204,-18,50
204,11092,51
204,-19,52
204,11234,53
204,-20,54
204,-21,55
204,11283,56
204,-22,57
204,-23,58
204,11341,59
204,-24,60
204,-25,61
204,-26,62
204,-27,63
204,11379,64
204,-28,65
204,-29,66
204,11407,67
204,-30,68
204,15249,69
204,-31,70
204,11445,71
204,-32,72
204,22107,73
204,18835,74
204,11498,75
757,-1,1
757,8987,2
757,9009,3
757,9090,4
757,9112,5
757,9130,6
757,9171,7
757,9261,8
757,9411,9
757,9458,10
757,-2,11
757,9573,12
757,-3,13
757,9698,14
757,9735,15
757,9748,16
757,9779,17
757,10974,18
757,11090,19
757,11281,20
757,11377,21
757,11443,22
757,15256,23
720,14773,1
720,9237,2
720,9239,3
720,-1,4
720,9241,5
720,9242,6
720,29774,7
720,-2,8
720,9246,9
720,-3,10
720,9075,11
720,9248,12
720,9250,13
720,-4,14
720,9251,15
720,-5,16
720,9254,17
720,9256,18
720,9259,19
720,9261,20
720,9262,21
720,9263,22
720,9266,23
720,29775,24
720,15456,25
720,14923,26
720,14917,27
720,14909,28
720,14918,29
720,9295,30
720,14910,31
720,14911,32
720,9595,33
720,-6,34
720,-7,35
720,9601,36
720,22257,37
720,9604,38
720,29776,39
720,9606,40
720,9607,41
720,15481,42
720,29778,43
901,20058,1
901,20057,2
901,20056,3
901,20055,4
901,20596,5
901,20053,6
901,20595,7
901,20594,8
901,20593,9
901,20592,10
901,20591,11
901,20590,12
901,20589,13
901,20588,14
901,20587,15
901,20586,16
901,20585,17
901,20584,18
850,20027,1
850,20026,2
850,20025,3
850,20024,4
850,20023,5
850,20022,6
850,20021,7
850,20020,8
850,20019,9
850,20620,10
850,20621,11
850,20622,12
850,20623,13
850,20624,14
850,20625,15
850,20626,16
850,20627,17
850,20628,18
911,-1,1
911,20992,2
911,20990,3
911,-2,4
911,-3,5
911,20987,6
911,20986,7
911,-4,8
911,20984,9
911,-5,10
911,20982,11
911,20981,12
911,20980,13
911,20979,14
911,20978,15
911,20977,16
911,20976,17
911,20975,18
911,20974,19
911,-6,20
911,20973,21
911,20972,22
911,20971,23
915,20070,1
915,20245,2
915,20246,3
915,20247,4
915,20248,5
915,-1,6
915,20270,7
915,20249,8
915,20250,9
915,20251,10
915,20252,11
915,20253,12
915,20254,13
915,20255,14
915,20256,15
915,20275,16
915,20276,17
915,20277,18
915,20257,19
915,20258,20
915,20259,21
915,20260,22
915,20261,23
915,20278,24
915,20262,25
915,20263,26
915,20264,27
915,-2,28
915,20279,29
915,20265,30
915,20266,31
915,20267,32
915,-3,33
915,20280,34
915,20283,35
915,20069,36
